？？？	……来ましたね、シエル
シエル	はい、来ました。アラタさんが、アカリさんが信じてくれてるから
主人公	防御システムを意に介さず。
主人公	シエルが抜けた先、そこにマザーはいた。
主人公	それはシステム。巨大なシステム。
主人公	遥か昔からラグナギアを見守っているシステム。
主人公	それはプログラム。巨大なプログラム。
主人公	世界を構築し、管理しているプログラム。
主人公	母のように優しく。母のように厳しく。
主人公	見た者に神々しさと恐れを。
主人公	安心と畏怖を同時に感じさせるもの。
主人公	マザーシステム。
マザーシステム	それで。どうする気ですか、こんなところまで来て。私を止めようとでも？
シエル	もちろん、あなたを止めるためです
主人公	そんなマザーを前に臆することなく、
主人公	ゆっくりと、けれどしっかりと歩みを進めていくシエル。
マザーシステム	止まりなさい。魔王シエル、今すぐ止まりなさい
マザーシステム	これは警告であり忠告です。今すぐ止まりなさい
シエル	無駄です。先ほどの攻撃でわかっていますよね？　私に魔法は通じません
マザーシステム	そんなこと……！
主人公	マザーシステムから放たれる防衛の魔法攻撃。
主人公	だがシエルの言う通り、覚醒した魔王にそんなものが通用するはずもない。
マザーシステム	近づかないでください。これ以上近づけば本気であなたを排除します
シエル	いいえ、あなたに私を排除することはできません
主人公	シエルに当たる直前で魔法が消える。
主人公	立ち昇るオーラに全て弾かれる。ダメージにすらならない。
マザーシステム	……なっ
シエル	アラタさんと、アカリさんとの約束です。あなたを止めます
主人公	一歩一歩。
主人公	当然のように歩いて行く。
主人公	アラタに話しかけるように。
主人公	アカリを誘うように歩いていく。
マザーシステム	…………な、なぜ……
マザーシステム	……何故……何故あなたがそこまでするのです！？　何故私に刃向うのですか！　そんなことをしても、あなたには何の得もない……！
マザーシステム	勇者を倒し、普通なら生き長らえたいと思うはず……！　なのにどうして！
主人公	全てを知っているはずのマザーが。
主人公	全てを理解してるはずのマザーが狼狽し問いただす。
シエル	あなたの言う通り、私は生きたいです……ですけど
シエル	アラタさんとアカリさんがいない世界で生きても、何の意味もありません
シエル	私は、お二人と……みなさんと一緒に生きたい！
マザーシステム	……！　そんなっ！　そんな答えっ！
主人公	それは予想していた答えだろう。それは予測していた応えだろう。だが、
マザーシステム	何故！　何故！！　何故！！　何故！！！
主人公	今まで冷静に冷徹に冷酷なまでに世界を見てきた者の初めての怒り。
マザーシステム	何故あなたたちはあの男に従うのです、惹かれるのですか！？　何なのです、あのコウジマアラタという存在は！？
マザーシステム	あの存在のために全てが崩れた！
マザーシステム	本来なら覆すことなど出来ないシステムを！　エラーなど起こさないはずのプログラムを！
マザーシステム	辿りつくことない私に！　何故あの勇者は乗り越えてくる！
主人公	それは絶叫。それは激昂。
主人公	今まで自分を押し殺していたはずのマザーが。
主人公	子どものイタズラと見ていたマザーが。
主人公	感情を爆発させる。
マザーシステム	勇者として役目を果たさず！　あまつさえ魔王を助けたことに始まり……っ……代行者の撃破……！
マザーシステム	……この世界が産まれてから一度も起きたことのないもう一人の勇者の誕生！
マザーシステム	エラーを正すために……苦渋の末シエルと接触した、代行者も復活させた！
マザーシステム	……勇者か魔王、あるいはその両方を排除しようとしたのに結局代行者のみが破られる……っ
シエル	………………
主人公	この部屋自体がマザーの体内なのか。
主人公	マザーの言葉と意見に同調するように部屋全体が震える。
主人公	シエルはそれを、静かに見ている。
マザーシステム	最後の手段として用意していたシャインでさえも、勇者と魔王が手を組むというイレギュラーな現状の前に阻まれる！
マザーシステム	そしてシエル……あなたがここにいる……！
マザーシステム	全てはあの者が勇者として……いや、ただの勇者のついでとして呼ばれてから起きたことっ。あの男は一体何なのですっ！
