明葉	どうやら、来られる関係者は全員揃ったようだな
七星	白鳥さん、お願いできますか
黒哉	はい。それでは始めさせていただきます
主人公	ここには空と輝夜はもちろん、アニキや天ねえ、皐月に魅流に彗と今回の件で携わったメンバーが集まっていた。
主人公	ただ、その『ここに来られる関係者』の中に、陽夏さん、そして星亜は含まれていなかった。
黒哉	まず、今回の事件の原因であった少女ですが、昨日、無事確保することに成功しました。少女の名前は『ソラ』。異星の者によって作られた、異星文明品でした
黒哉	その力は、記憶を収集し、記録すること
黒哉	奪った記憶を元に、自らの精神の中へ新たな記憶世界を作り上げていく、特殊な存在です
黒哉	その力によって、陽夏ちゃんは記憶を奪われてしまいましたが、記憶を消去するのではなく、収集する力の持ち主であったことが幸いしました
黒哉	ソラさんにより、記憶を戻すことによって、現在は回復しています
黒哉	とはいえ、今日はまだ大事を取って入院させていますので、ここにはいません
主人公	みんな、ここに陽夏さんがいないことが気になっていたらしく、安堵の小さな声やため息がそこかしこから漏れているのが聞こえた。
黒哉	もっとも、ソラさんの目的を初めとし、まだ分かっていないことは多くあります
黒哉	そういったことも含めて、今後ソラさんから判明しだい、またお伝えしていきたいと思います
黒哉	それでは、今日のお話は以上です
黒哉	重ねて皆さん、今回の事件では本当にご苦労さまでした
主人公	まだすべてが終わったわけじゃないけれど、とりあえず事件は終了したみたいだ。
主人公	陽夏さんも無事だったらしいし、病院の方、行ってみようかな。
主人公	できればそのあとで、星亜のところにも……。
